mep_identifier,mep_honorific_prefix,mep_given_name,mep_family_name,mep_official_given_name,mep_official_family_name,mep_gender,mep_citizenship,mep_place_of_birth,mep_birthday,mep_death_date,mep_image,mep_email,mep_homepage,mep_twitter,mep_facebook_page,mep_facebook_profile,mep_instagram,mep_URI
28288,Mr,Jan,Olbrycht,,,male,Poland,Rybnik,1952-09-21^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28288.jpg,mailto:jan.olbrycht@europarl.europa.eu,http://janolbrycht.pl/,http://twitter.com/JanOlbrycht,https://www.facebook.com/J.Olbrycht,,https://www.instagram.com/janolbrycht,https://data.europarl.europa.eu/person/28288
1917,Mr,Markus,Ferber,,,male,Germany,Augsburg,1965-01-15^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/1917.jpg,mailto:markus.ferber@europarl.europa.eu,http://www.markus-ferber.de/,https://twitter.com/MarkusFerber,https://www.facebook.com/MarkusFerberEU,,,https://data.europarl.europa.eu/person/1917
28229,Mr,Manfred,Weber,,,male,Germany,Niederhatzkofen,1972-07-14^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28229.jpg,mailto:manfred.weber@europarl.europa.eu; mailto:info@manfredweber.eu,http://www.manfredweber.eu/,https://twitter.com/ManfredWeber,https://www.facebook.com/manfred.weber,,https://www.instagram.com/manfred.weber/,https://data.europarl.europa.eu/person/28229
1909,Mr,Bernd,Lange,,,male,Germany,Oldenburg,1955-11-14^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/1909.jpg,mailto:bernd.lange@europarl.europa.eu,,https://twitter.com/berndlange,,https://www.facebook.com/bernd.lange.europa/,,https://data.europarl.europa.eu/person/1909
2341,Mr,Michael,Gahler,,,male,Germany,Frankfurt/Main,1960-04-22^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/2341.jpg,mailto:michael.gahler@europarl.europa.eu,http://www.michael-gahler.eu,https://twitter.com/gahler_michael,https://www.facebook.com/Michael.Gahler.EU/,,,https://data.europarl.europa.eu/person/2341
58766,Mr,Nicolae,Ştefănuță,,,male,Romania,RASINARI,1982-01-03^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/58766.jpg,mailto:nicolae.stefanuta@europarl.europa.eu,,https://twitter.com/nicustefanuta,https://www.facebook.com/nicustefanutaUSRinPE/,,https://www.instagram.com/nicustefanuta,https://data.europarl.europa.eu/person/58766
23781,Mr,Janusz,Lewandowski,,,male,Poland,Lublin,1951-06-13^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/23781.jpg,mailto:janusz.lewandowski@europarl.europa.eu,http://www.januszlewandowski.pl,https://twitter.com/J_Lewandowski,https://www.facebook.com/Lewandowski.Janusz,,https://www.instagram.com/janusz_lewandowski/,https://data.europarl.europa.eu/person/23781
840,Mr,Charles,Goerens,,,male,Luxembourg,Ettelbruck,1952-02-06^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/840.jpg,mailto:charles.goerens@europarl.europa.eu,https://charlesgoerens.eu/,https://twitter.com/CharlesGoerens,https://www.facebook.com/charles.goerens,,https://www.instagram.com/cgoerens/?hl=fr,https://data.europarl.europa.eu/person/840
35016,Mr,Marco,Campomenosi,,,male,Italy,GENOVA,1975-09-02^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/35016.jpg,mailto:marco.campomenosi@europarl.europa.eu,,https://twitter.com/mcampomenosi?lang=en,https://www.facebook.com/marco.campomenosi/,,https://www.instagram.com/campomenosimarco/?hl=en,https://data.europarl.europa.eu/person/35016
28400,Mr,Francisco José,Millán Mon,,,male,Spain,Pontevedra,1955-03-08^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28400.jpg,mailto:francisco.millanmon@europarl.europa.eu,,https://twitter.com/PacoMillanMon,https://www.facebook.com/Francisco-Mill%C3%A1n-Mon-101795278943999,,https://www.instagram.com/pacomillanmon/,https://data.europarl.europa.eu/person/28400
24505,Mr,Emmanuel,Maurel,,,male,France,Epinay sur Seine,1973-05-10^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/24505.jpg,mailto:emmanuel.maurel@europarl.europa.eu,http://emmanuelmaurel.eu,https://twitter.com/emmanuelmaurel,https://www.facebook.com/emmanuelmaurel/,,,https://data.europarl.europa.eu/person/24505
28226,Mr,Christian,Ehler,,,male,Germany,München,1963-08-17^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28226.jpg,mailto:christian.ehler@europarl.europa.eu,https://ehler.eu/,https://twitter.com/mep_ehler,https://www.facebook.com/ehler/,,,https://data.europarl.europa.eu/person/28226
1992,Mr,José Manuel,García-Margallo y Marfil,,,male,Spain,Madrid,1944-08-13^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/1992.jpg,mailto:jose.margallo@europarl.europa.eu,https://www.josemanuelgarciamargallo.es/,https://twitter.com/MargalloJm,https://www.facebook.com/JMGMargallo/,,https://www.instagram.com/jmgmargallo/,https://data.europarl.europa.eu/person/1992
29579,Mr,Marc,Tarabella,,,male,Belgium,Ougrée,1963-03-11^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/29579.jpg,mailto:marc.tarabella@europarl.europa.eu,http://www.tarabella.eu,https://twitter.com/marctarabella,http://www.facebook.com/pages/Marc-Tarabella/440244735250,https://www.facebook.com/marc.tarabella,,https://data.europarl.europa.eu/person/29579
28399,Mr,Antonio,López-Istúriz White,,,male,Spain,Pamplona,1970-04-01^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28399.jpg,mailto:antonio.lopezisturiz@europarl.europa.eu,http://www.antoniolopezisturiz.eu,https://twitter.com/TonoEPP,https://www.facebook.com/tonoepp/,,https://www.instagram.com/tonoepp/,https://data.europarl.europa.eu/person/28399
28372,Mr,Ryszard,Czarnecki,,,male,Poland,Londyn (GB),1963-01-25^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28372.jpg,mailto:ryszard.czarnecki@europarl.europa.eu,http://www.ryszardczarnecki.pl,https://twitter.com/r_czarnecki,,https://www.facebook.com/rysz.czarnecki,https://www.instagram.com/ryszard.czarnecki.europosel,https://data.europarl.europa.eu/person/28372
24922,Mr,Pascal,Arimont,,,male,Belgium,Malmedy,1974-09-25^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/24922.jpg,mailto:pascal.arimont@europarl.europa.eu,https://pascal-arimont.eu/,https://twitter.com/pascal_arimont,https://www.facebook.com/pascalarimont.official,,https://www.instagram.com/pascalarimontmep/,https://data.europarl.europa.eu/person/24922
30482,Mr,Younous,Omarjee,,,male,France,Saint-Denis (Réunion),1969-09-30^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/30482.jpg,mailto:younous.omarjee@europarl.europa.eu,,https://twitter.com/younousomarjee,https://www.facebook.com/pages/category/politician/Younous-Omarjee-2310917338926472,https://www.facebook.com/younous.omarjee,https://www.instagram.com/younousomarjee,https://data.europarl.europa.eu/person/30482
28389,Mr,Zbigniew,Kuźmiuk,,,male,Poland,Komorowo,1956-09-19^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28389.jpg,,,,,,,https://data.europarl.europa.eu/person/28389
28615,Mr,Roberts,Zīle,,,male,Latvia,Rīga,1958-06-20^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28615.jpg,mailto:roberts.zile@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/28615
38420,Mr,Cristian-Silviu,Buşoi,,,male,Romania,Drobeta Turnu-Severin,1978-03-01^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/38420.jpg,mailto:cristiansilviu.busoi@europarl.europa.eu,http://www.cristianbusoi.eu/,,http://www.facebook.com/cristi.busoi,http://www.facebook.com/profile.php?id=1536380222,https://www.instagram.com/cristi.busoi/,https://data.europarl.europa.eu/person/38420
23712,Mr,Jan,Zahradil,,,male,Czechia,Praha,1963-03-20^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/23712.jpg,mailto:jan.zahradil@europarl.europa.eu,http://www.zahradil.cz,https://twitter.com/ZahradilJan,,https://www.facebook.com/zahradil,,https://data.europarl.europa.eu/person/23712
28297,Mr,Jacek,Saryusz-Wolski,,,male,Poland,Łódż,1948-09-19^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28297.jpg,mailto:jacek.saryusz-wolski@europarl.europa.eu,https://www.saryusz-wolski.pl/en/,https://twitter.com/JSaryuszWolski,https://fr-fr.facebook.com/JacekSaryuszWolski/,,,https://data.europarl.europa.eu/person/28297
28223,Mr,Andreas,Schwab,,,male,Germany,Rottweil,1973-04-09^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/28223.jpg,mailto:andreas.schwab@europarl.europa.eu; mailto:post@andreas-schwab.de,https://www.andreas-schwab.de,https://twitter.com/Andreas_Schwab,https://www.facebook.com/aschwab.mdep/,,https://www.instagram.com/andreasschwab_mdep/?igshid=1qkxgol6ax7b6,https://data.europarl.europa.eu/person/28223
1927,Mr,Peter,Liese,,,male,Germany,Meschede,1965-05-20^^http://www.w3.org/2001/XMLSchema#date,,https://www.europarl.europa.eu/mepphoto/1927.jpg,mailto:peter.liese@europarl.europa.eu,http://www.peter-liese.de/,http://twitter.com/peterliese,https://www.facebook.com/peter.liese,,https://www.instagram.com/peter.liese.cdu/,https://data.europarl.europa.eu/person/1927
